Module;Name;
n_radix_switch.host[0];Latengy:mean;7.24E-07
n_radix_switch.host[0];Throughput:mean;2.38E+07
;;
n_radix_switch.host[1];Latengy:mean;7.14E-07
n_radix_switch.host[1];Throughput:mean;2.39E+07
;;
n_radix_switch.host[2];Latengy:mean;7.39E-07
n_radix_switch.host[2];Throughput:mean;2.56E+07
;;
n_radix_switch.host[3];Latengy:mean;7.09E-07
n_radix_switch.host[3];Throughput:mean;2.31E+07
;;
n_radix_switch.host[4];Latengy:mean;7.10E-07
n_radix_switch.host[4];Throughput:mean;2.26E+07
;;
n_radix_switch.host[5];Latengy:mean;7.26E-07
n_radix_switch.host[5];Throughput:mean;2.37E+07
;;
n_radix_switch.host[6];Latengy:mean;7.07E-07
n_radix_switch.host[6];Throughput:mean;2.32E+07
;;
n_radix_switch.host[7];Latengy:mean;7.23E-07
n_radix_switch.host[7];Throughput:mean;2.33E+07
;;
n_radix_switch.host[8];Latengy:mean;7.42E-07
n_radix_switch.host[8];Throughput:mean;2.44E+07
;;
n_radix_switch.host[9];Latengy:mean;7.51E-07
n_radix_switch.host[9];Throughput:mean;2.55E+07
;;
n_radix_switch.host[10];Latengy:mean;7.56E-07
n_radix_switch.host[10];Throughput:mean;2.44E+07
;;
n_radix_switch.host[11];Latengy:mean;7.36E-07
n_radix_switch.host[11];Throughput:mean;2.51E+07
;;
n_radix_switch.host[12];Latengy:mean;7.39E-07
n_radix_switch.host[12];Throughput:mean;2.46E+07
;;
n_radix_switch.host[13];Latengy:mean;7.33E-07
n_radix_switch.host[13];Throughput:mean;2.38E+07
;;
n_radix_switch.host[14];Latengy:mean;7.11E-07
n_radix_switch.host[14];Throughput:mean;2.47E+07
;;
n_radix_switch.host[15];Latengy:mean;7.03E-07
n_radix_switch.host[15];Throughput:mean;2.43E+07
