Module;Name;
n_radix_switch.host[0];Latengy:mean;2.86E-06
n_radix_switch.host[0];Throughput:mean;2.56E+07
;;
n_radix_switch.host[1];Latengy:mean;2.77E-06
n_radix_switch.host[1];Throughput:mean;2.32E+07
;;
n_radix_switch.host[2];Latengy:mean;2.93E-06
n_radix_switch.host[2];Throughput:mean;2.52E+07
;;
n_radix_switch.host[3];Latengy:mean;2.84E-06
n_radix_switch.host[3];Throughput:mean;2.62E+07
;;
n_radix_switch.host[4];Latengy:mean;2.83E-06
n_radix_switch.host[4];Throughput:mean;2.36E+07
;;
n_radix_switch.host[5];Latengy:mean;2.92E-06
n_radix_switch.host[5];Throughput:mean;2.41E+07
;;
n_radix_switch.host[6];Latengy:mean;2.83E-06
n_radix_switch.host[6];Throughput:mean;2.40E+07
;;
n_radix_switch.host[7];Latengy:mean;2.92E-06
n_radix_switch.host[7];Throughput:mean;2.41E+07
