Module;Name;
n_radix_switch.host[0];Latengy:mean;2.88E-06
n_radix_switch.host[0];Throughput:mean;2.39E+07
;;
n_radix_switch.host[1];Latengy:mean;3.08E-06
n_radix_switch.host[1];Throughput:mean;2.36E+07
;;
n_radix_switch.host[2];Latengy:mean;2.95E-06
n_radix_switch.host[2];Throughput:mean;2.44E+07
;;
n_radix_switch.host[3];Latengy:mean;3.02E-06
n_radix_switch.host[3];Throughput:mean;2.39E+07
;;
n_radix_switch.host[4];Latengy:mean;2.90E-06
n_radix_switch.host[4];Throughput:mean;2.33E+07
;;
n_radix_switch.host[5];Latengy:mean;2.98E-06
n_radix_switch.host[5];Throughput:mean;2.34E+07
;;
n_radix_switch.host[6];Latengy:mean;3.02E-06
n_radix_switch.host[6];Throughput:mean;2.43E+07
;;
n_radix_switch.host[7];Latengy:mean;3.02E-06
n_radix_switch.host[7];Throughput:mean;2.35E+07
;;
n_radix_switch.host[8];Latengy:mean;3.08E-06
n_radix_switch.host[8];Throughput:mean;2.46E+07
;;
n_radix_switch.host[9];Latengy:mean;2.93E-06
n_radix_switch.host[9];Throughput:mean;2.52E+07
;;
n_radix_switch.host[10];Latengy:mean;3.04E-06
n_radix_switch.host[10];Throughput:mean;2.48E+07
;;
n_radix_switch.host[11];Latengy:mean;3.01E-06
n_radix_switch.host[11];Throughput:mean;2.49E+07
;;
n_radix_switch.host[12];Latengy:mean;3.01E-06
n_radix_switch.host[12];Throughput:mean;2.41E+07
;;
n_radix_switch.host[13];Latengy:mean;2.88E-06
n_radix_switch.host[13];Throughput:mean;2.33E+07
;;
n_radix_switch.host[14];Latengy:mean;3.14E-06
n_radix_switch.host[14];Throughput:mean;2.43E+07
;;
n_radix_switch.host[15];Latengy:mean;3.03E-06
n_radix_switch.host[15];Throughput:mean;2.50E+07
