Module;Name;
n_radix_switch.host[0];Latengy:mean;6.82E-07
n_radix_switch.host[0];Throughput:mean;2.49E+07
;;
n_radix_switch.host[1];Latengy:mean;6.86E-07
n_radix_switch.host[1];Throughput:mean;2.45E+07
;;
n_radix_switch.host[2];Latengy:mean;6.94E-07
n_radix_switch.host[2];Throughput:mean;2.46E+07
;;
n_radix_switch.host[3];Latengy:mean;7.24E-07
n_radix_switch.host[3];Throughput:mean;2.59E+07
;;
n_radix_switch.host[4];Latengy:mean;6.95E-07
n_radix_switch.host[4];Throughput:mean;2.37E+07
;;
n_radix_switch.host[5];Latengy:mean;6.81E-07
n_radix_switch.host[5];Throughput:mean;2.42E+07
;;
n_radix_switch.host[6];Latengy:mean;6.99E-07
n_radix_switch.host[6];Throughput:mean;2.39E+07
;;
n_radix_switch.host[7];Latengy:mean;6.63E-07
n_radix_switch.host[7];Throughput:mean;2.31E+07
