Module;Name;
n_radix_switch.host[0];Latengy:mean;1.38E-06
n_radix_switch.host[0];Throughput:mean;2.51E+07
;;
n_radix_switch.host[1];Latengy:mean;1.40E-06
n_radix_switch.host[1];Throughput:mean;2.56E+07
;;
n_radix_switch.host[2];Latengy:mean;1.43E-06
n_radix_switch.host[2];Throughput:mean;2.53E+07
;;
n_radix_switch.host[3];Latengy:mean;1.43E-06
n_radix_switch.host[3];Throughput:mean;2.57E+07
;;
n_radix_switch.host[4];Latengy:mean;1.44E-06
n_radix_switch.host[4];Throughput:mean;2.49E+07
;;
n_radix_switch.host[5];Latengy:mean;1.41E-06
n_radix_switch.host[5];Throughput:mean;2.35E+07
;;
n_radix_switch.host[6];Latengy:mean;1.45E-06
n_radix_switch.host[6];Throughput:mean;2.38E+07
;;
n_radix_switch.host[7];Latengy:mean;1.40E-06
n_radix_switch.host[7];Throughput:mean;2.41E+07
