Module;Name;
k_ary_n_mesh.host[7];Latengy:stddev;0.00017256
k_ary_n_mesh.host[7];Latengy:sum;0.121951
k_ary_n_mesh.host[7];Latengy:sqrsum;4.44E-05
k_ary_n_mesh.host[7];Latengy:min;9.26E-08
k_ary_n_mesh.host[7];Latengy:max;0.000955531
k_ary_n_mesh.host[7];Throughput:count;1
k_ary_n_mesh.host[7];Throughput:mean;630928
k_ary_n_mesh.host[7];Throughput:stddev;NaN
k_ary_n_mesh.host[7];Throughput:sum;630928
k_ary_n_mesh.host[7];Throughput:sqrsum;3.98E+11
k_ary_n_mesh.host[7];Throughput:min;630928
k_ary_n_mesh.host[7];Throughput:max;630928
k_ary_n_mesh.host[8];Latengy:count;1019
k_ary_n_mesh.host[8];Latengy:mean;0.000128604
k_ary_n_mesh.host[8];Latengy:stddev;0.00015922
k_ary_n_mesh.host[8];Latengy:sum;0.131047
k_ary_n_mesh.host[8];Latengy:sqrsum;4.27E-05
k_ary_n_mesh.host[8];Latengy:min;9.26E-08
k_ary_n_mesh.host[8];Latengy:max;0.00113103
k_ary_n_mesh.host[8];Throughput:count;1
k_ary_n_mesh.host[8];Throughput:mean;652706
k_ary_n_mesh.host[8];Throughput:stddev;NaN
k_ary_n_mesh.host[8];Throughput:sum;652706
k_ary_n_mesh.host[8];Throughput:sqrsum;4.26E+11
k_ary_n_mesh.host[8];Throughput:min;652706
k_ary_n_mesh.host[8];Throughput:max;652706
k_ary_n_mesh.host[9];Latengy:count;983
k_ary_n_mesh.host[9];Latengy:mean;0.000169622
k_ary_n_mesh.host[9];Latengy:stddev;0.000246292
k_ary_n_mesh.host[9];Latengy:sum;0.166738
k_ary_n_mesh.host[9];Latengy:sqrsum;8.79E-05
k_ary_n_mesh.host[9];Latengy:min;9.83E-08
k_ary_n_mesh.host[9];Latengy:max;0.00161
k_ary_n_mesh.host[9];Throughput:count;1
k_ary_n_mesh.host[9];Throughput:mean;629647
k_ary_n_mesh.host[9];Throughput:stddev;NaN
k_ary_n_mesh.host[9];Throughput:sum;629647
k_ary_n_mesh.host[9];Throughput:sqrsum;3.96E+11
k_ary_n_mesh.host[9];Throughput:min;629647
k_ary_n_mesh.host[9];Throughput:max;629647
k_ary_n_mesh.host[10];Latengy:count;1014
k_ary_n_mesh.host[10];Latengy:mean;0.00016495
k_ary_n_mesh.host[10];Latengy:stddev;0.000206947
k_ary_n_mesh.host[10];Latengy:sum;0.16726
k_ary_n_mesh.host[10];Latengy:sqrsum;7.10E-05
k_ary_n_mesh.host[10];Latengy:min;1.05E-07
k_ary_n_mesh.host[10];Latengy:max;0.00110605
k_ary_n_mesh.host[10];Throughput:count;1
k_ary_n_mesh.host[10];Throughput:mean;649504
k_ary_n_mesh.host[10];Throughput:stddev;NaN
k_ary_n_mesh.host[10];Throughput:sum;649504
k_ary_n_mesh.host[10];Throughput:sqrsum;4.22E+11
k_ary_n_mesh.host[10];Throughput:min;649504
k_ary_n_mesh.host[10];Throughput:max;649504
k_ary_n_mesh.host[11];Latengy:count;1029
k_ary_n_mesh.host[11];Latengy:mean;0.000176227
k_ary_n_mesh.host[11];Latengy:stddev;0.000212433
k_ary_n_mesh.host[11];Latengy:sum;0.181338
k_ary_n_mesh.host[11];Latengy:sqrsum;7.83E-05
k_ary_n_mesh.host[11];Latengy:min;1.13E-07
k_ary_n_mesh.host[11];Latengy:max;0.00111699
k_ary_n_mesh.host[11];Throughput:count;1
k_ary_n_mesh.host[11];Throughput:mean;659112
k_ary_n_mesh.host[11];Throughput:stddev;NaN
k_ary_n_mesh.host[11];Throughput:sum;659112
k_ary_n_mesh.host[11];Throughput:sqrsum;4.34E+11
k_ary_n_mesh.host[11];Throughput:min;659112
k_ary_n_mesh.host[11];Throughput:max;659112
k_ary_n_mesh.host[12];Latengy:count;1028
k_ary_n_mesh.host[12];Latengy:mean;0.000173539
k_ary_n_mesh.host[12];Latengy:stddev;0.000211993
k_ary_n_mesh.host[12];Latengy:sum;0.178398
k_ary_n_mesh.host[12];Latengy:sqrsum;7.71E-05
k_ary_n_mesh.host[12];Latengy:min;1.22E-07
k_ary_n_mesh.host[12];Latengy:max;0.00129903
k_ary_n_mesh.host[12];Throughput:count;1
k_ary_n_mesh.host[12];Throughput:mean;658471
k_ary_n_mesh.host[12];Throughput:stddev;NaN
k_ary_n_mesh.host[12];Throughput:sum;658471
k_ary_n_mesh.host[12];Throughput:sqrsum;4.34E+11
k_ary_n_mesh.host[12];Throughput:min;658471
k_ary_n_mesh.host[12];Throughput:max;658471
k_ary_n_mesh.host[13];Latengy:count;986
k_ary_n_mesh.host[13];Latengy:mean;0.000165007
k_ary_n_mesh.host[13];Latengy:stddev;0.000208965
k_ary_n_mesh.host[13];Latengy:sum;0.162697
k_ary_n_mesh.host[13];Latengy:sqrsum;6.99E-05
k_ary_n_mesh.host[13];Latengy:min;1.13E-07
k_ary_n_mesh.host[13];Latengy:max;0.00129364
k_ary_n_mesh.host[13];Throughput:count;1
k_ary_n_mesh.host[13];Throughput:mean;631569
k_ary_n_mesh.host[13];Throughput:stddev;NaN
k_ary_n_mesh.host[13];Throughput:sum;631569
k_ary_n_mesh.host[13];Throughput:sqrsum;3.99E+11
k_ary_n_mesh.host[13];Throughput:min;631569
k_ary_n_mesh.host[13];Throughput:max;631569
k_ary_n_mesh.host[14];Latengy:count;989
k_ary_n_mesh.host[14];Latengy:mean;0.000161316
k_ary_n_mesh.host[14];Latengy:stddev;0.000212214
k_ary_n_mesh.host[14];Latengy:sum;0.159541
k_ary_n_mesh.host[14];Latengy:sqrsum;7.02E-05
k_ary_n_mesh.host[14];Latengy:min;1.05E-07
k_ary_n_mesh.host[14];Latengy:max;0.00107179
k_ary_n_mesh.host[14];Throughput:count;1
k_ary_n_mesh.host[14];Throughput:mean;633490
k_ary_n_mesh.host[14];Throughput:stddev;NaN
k_ary_n_mesh.host[14];Throughput:sum;633490
k_ary_n_mesh.host[14];Throughput:sqrsum;4.01E+11
k_ary_n_mesh.host[14];Throughput:min;633490
k_ary_n_mesh.host[14];Throughput:max;633490
k_ary_n_mesh.host[15];Latengy:count;1023
k_ary_n_mesh.host[15];Latengy:mean;0.000158143
k_ary_n_mesh.host[15];Latengy:stddev;0.000222988
k_ary_n_mesh.host[15];Latengy:sum;0.16178
k_ary_n_mesh.host[15];Latengy:sqrsum;7.64E-05
k_ary_n_mesh.host[15];Latengy:min;9.83E-08
k_ary_n_mesh.host[15];Latengy:max;0.00159684
k_ary_n_mesh.host[15];Throughput:count;1
k_ary_n_mesh.host[15];Throughput:mean;655269
k_ary_n_mesh.host[15];Throughput:stddev;NaN
k_ary_n_mesh.host[15];Throughput:sum;655269
k_ary_n_mesh.host[15];Throughput:sqrsum;4.29E+11
k_ary_n_mesh.host[15];Throughput:min;655269
k_ary_n_mesh.host[15];Throughput:max;655269
k_ary_n_mesh.host[16];Latengy:count;996
k_ary_n_mesh.host[16];Latengy:mean;0.000143346
k_ary_n_mesh.host[16];Latengy:stddev;0.000196286
k_ary_n_mesh.host[16];Latengy:sum;0.142772
k_ary_n_mesh.host[16];Latengy:sqrsum;5.88E-05
k_ary_n_mesh.host[16];Latengy:min;9.83E-08
k_ary_n_mesh.host[16];Latengy:max;0.00166644
k_ary_n_mesh.host[16];Throughput:count;1
k_ary_n_mesh.host[16];Throughput:mean;637974
k_ary_n_mesh.host[16];Throughput:stddev;NaN
k_ary_n_mesh.host[16];Throughput:sum;637974
k_ary_n_mesh.host[16];Throughput:sqrsum;4.07E+11
k_ary_n_mesh.host[16];Throughput:min;637974
k_ary_n_mesh.host[16];Throughput:max;637974
k_ary_n_mesh.host[17];Latengy:count;1025
k_ary_n_mesh.host[17];Latengy:mean;0.000164201
k_ary_n_mesh.host[17];Latengy:stddev;0.00020209
k_ary_n_mesh.host[17];Latengy:sum;0.168306
k_ary_n_mesh.host[17];Latengy:sqrsum;6.95E-05
k_ary_n_mesh.host[17];Latengy:min;1.05E-07
k_ary_n_mesh.host[17];Latengy:max;0.00110995
k_ary_n_mesh.host[17];Throughput:count;1
k_ary_n_mesh.host[17];Throughput:mean;656550
k_ary_n_mesh.host[17];Throughput:stddev;NaN
k_ary_n_mesh.host[17];Throughput:sum;656550
k_ary_n_mesh.host[17];Throughput:sqrsum;4.31E+11
k_ary_n_mesh.host[17];Throughput:min;656550
k_ary_n_mesh.host[17];Throughput:max;656550
k_ary_n_mesh.host[18];Latengy:count;936
k_ary_n_mesh.host[18];Latengy:mean;0.000172954
k_ary_n_mesh.host[18];Latengy:stddev;0.000194342
k_ary_n_mesh.host[18];Latengy:sum;0.161885
k_ary_n_mesh.host[18];Latengy:sqrsum;6.33E-05
k_ary_n_mesh.host[18];Latengy:min;1.13E-07
k_ary_n_mesh.host[18];Latengy:max;0.00110559
k_ary_n_mesh.host[18];Throughput:count;1
k_ary_n_mesh.host[18];Throughput:mean;599542
k_ary_n_mesh.host[18];Throughput:stddev;NaN
k_ary_n_mesh.host[18];Throughput:sum;599542
k_ary_n_mesh.host[18];Throughput:sqrsum;3.59E+11
k_ary_n_mesh.host[18];Throughput:min;599542
k_ary_n_mesh.host[18];Throughput:max;599542
k_ary_n_mesh.host[19];Latengy:count;938
k_ary_n_mesh.host[19];Latengy:mean;0.000176623
k_ary_n_mesh.host[19];Latengy:stddev;0.000206379
k_ary_n_mesh.host[19];Latengy:sum;0.165672
k_ary_n_mesh.host[19];Latengy:sqrsum;6.92E-05
k_ary_n_mesh.host[19];Latengy:min;1.22E-07
k_ary_n_mesh.host[19];Latengy:max;0.00130078
k_ary_n_mesh.host[19];Throughput:count;1
k_ary_n_mesh.host[19];Throughput:mean;600823
k_ary_n_mesh.host[19];Throughput:stddev;NaN
k_ary_n_mesh.host[19];Throughput:sum;600823
k_ary_n_mesh.host[19];Throughput:sqrsum;3.61E+11
k_ary_n_mesh.host[19];Throughput:min;600823
k_ary_n_mesh.host[19];Throughput:max;600823
k_ary_n_mesh.host[20];Latengy:count;1035
k_ary_n_mesh.host[20];Latengy:mean;0.00017187
k_ary_n_mesh.host[20];Latengy:stddev;0.000196035
k_ary_n_mesh.host[20];Latengy:sum;0.177885
k_ary_n_mesh.host[20];Latengy:sqrsum;7.03E-05
k_ary_n_mesh.host[20];Latengy:min;1.33E-07
k_ary_n_mesh.host[20];Latengy:max;0.00126609
k_ary_n_mesh.host[20];Throughput:count;1
k_ary_n_mesh.host[20];Throughput:mean;662955
k_ary_n_mesh.host[20];Throughput:stddev;NaN
k_ary_n_mesh.host[20];Throughput:sum;662955
k_ary_n_mesh.host[20];Throughput:sqrsum;4.40E+11
k_ary_n_mesh.host[20];Throughput:min;662955
k_ary_n_mesh.host[20];Throughput:max;662955
k_ary_n_mesh.host[21];Latengy:count;983
k_ary_n_mesh.host[21];Latengy:mean;0.000180793
k_ary_n_mesh.host[21];Latengy:stddev;0.000221696
k_ary_n_mesh.host[21];Latengy:sum;0.17772
k_ary_n_mesh.host[21];Latengy:sqrsum;8.04E-05
k_ary_n_mesh.host[21];Latengy:min;1.48E-07
k_ary_n_mesh.host[21];Latengy:max;0.00123364
k_ary_n_mesh.host[21];Throughput:count;1
k_ary_n_mesh.host[21];Throughput:mean;629647
k_ary_n_mesh.host[21];Throughput:stddev;NaN
k_ary_n_mesh.host[21];Throughput:sum;629647
k_ary_n_mesh.host[21];Throughput:sqrsum;3.96E+11
k_ary_n_mesh.host[21];Throughput:min;629647
k_ary_n_mesh.host[21];Throughput:max;629647
k_ary_n_mesh.host[22];Latengy:count;958
k_ary_n_mesh.host[22];Latengy:mean;0.000168471
k_ary_n_mesh.host[22];Latengy:stddev;0.00022765
k_ary_n_mesh.host[22];Latengy:sum;0.161396
k_ary_n_mesh.host[22];Latengy:sqrsum;7.68E-05
k_ary_n_mesh.host[22];Latengy:min;1.13E-07
k_ary_n_mesh.host[22];Latengy:max;0.00143156
k_ary_n_mesh.host[22];Throughput:count;1
k_ary_n_mesh.host[22];Throughput:mean;613634
k_ary_n_mesh.host[22];Throughput:stddev;NaN
k_ary_n_mesh.host[22];Throughput:sum;613634
k_ary_n_mesh.host[22];Throughput:sqrsum;3.77E+11
k_ary_n_mesh.host[22];Throughput:min;613634
k_ary_n_mesh.host[22];Throughput:max;613634
k_ary_n_mesh.host[23];Latengy:count;1057
k_ary_n_mesh.host[23];Latengy:mean;0.000158069
k_ary_n_mesh.host[23];Latengy:stddev;0.000223982
k_ary_n_mesh.host[23];Latengy:sum;0.167079
k_ary_n_mesh.host[23];Latengy:sqrsum;7.94E-05
k_ary_n_mesh.host[23];Latengy:min;1.05E-07
k_ary_n_mesh.host[23];Latengy:max;0.0013758
k_ary_n_mesh.host[23];Throughput:count;1
k_ary_n_mesh.host[23];Throughput:mean;677047
k_ary_n_mesh.host[23];Throughput:stddev;NaN
k_ary_n_mesh.host[23];Throughput:sum;677047
k_ary_n_mesh.host[23];Throughput:sqrsum;4.58E+11
k_ary_n_mesh.host[23];Throughput:min;677047
k_ary_n_mesh.host[23];Throughput:max;677047
k_ary_n_mesh.host[24];Latengy:count;974
k_ary_n_mesh.host[24];Latengy:mean;0.000151143
k_ary_n_mesh.host[24];Latengy:stddev;0.000171567
k_ary_n_mesh.host[24];Latengy:sum;0.147213
k_ary_n_mesh.host[24];Latengy:sqrsum;5.09E-05
k_ary_n_mesh.host[24];Latengy:min;1.05E-07
k_ary_n_mesh.host[24];Latengy:max;0.00111144
k_ary_n_mesh.host[24];Throughput:count;1
k_ary_n_mesh.host[24];Throughput:mean;623882
k_ary_n_mesh.host[24];Throughput:stddev;NaN
k_ary_n_mesh.host[24];Throughput:sum;623882
k_ary_n_mesh.host[24];Throughput:sqrsum;3.89E+11
k_ary_n_mesh.host[24];Throughput:min;623882
k_ary_n_mesh.host[24];Throughput:max;623882
k_ary_n_mesh.host[25];Latengy:count;977
k_ary_n_mesh.host[25];Latengy:mean;0.00014192
k_ary_n_mesh.host[25];Latengy:stddev;0.000168566
k_ary_n_mesh.host[25];Latengy:sum;0.138656
k_ary_n_mesh.host[25];Latengy:sqrsum;4.74E-05
k_ary_n_mesh.host[25];Latengy:min;1.13E-07
